date,expo_type
2017-12-29,Weekly
2018-01-05,Weekly
2018-01-12,Weekly
2018-01-19,Monthly
2018-01-19,Weekly
2018-01-26,Weekly
2018-02-02,Weekly
2018-02-09,Weekly
2018-02-16,Monthly
2018-02-16,Weekly
2018-02-23,Weekly
2018-03-02,Weekly
2018-03-09,Weekly
2018-03-16,Monthly
2018-03-16,Weekly
2018-03-23,Weekly
2018-04-06,Weekly
2018-04-13,Weekly
2018-04-20,Monthly
2018-04-20,Weekly
2018-04-27,Weekly
2018-05-04,Weekly
2018-05-11,Weekly
2018-05-18,Monthly
2018-05-18,Weekly
2018-05-25,Weekly
2018-06-01,Weekly
2018-06-08,Weekly
2018-06-15,Monthly
2018-06-15,Weekly
2018-06-22,Weekly
2018-06-29,Weekly
2018-07-06,Weekly
2018-07-13,Weekly
2018-07-20,Monthly
2018-07-20,Weekly
2018-07-27,Weekly
2018-08-03,Weekly
2018-08-10,Weekly
2018-08-17,Monthly
2018-08-17,Weekly
2018-08-24,Weekly
2018-09-07,Weekly
2018-09-14,Weekly
2018-09-21,Monthly
2018-09-21,Weekly
2018-09-28,Weekly
2018-10-05,Weekly
2018-10-12,Weekly
2018-10-19,Monthly
2018-10-19,Weekly
2018-10-26,Weekly
2018-11-02,Weekly
2018-11-09,Weekly
2018-11-16,Monthly
2018-11-16,Weekly
2018-11-23,Weekly
2018-11-30,Weekly
2018-12-07,Weekly
2018-12-14,Weekly
2018-12-21,Monthly
2018-12-21,Weekly
2018-12-28,Weekly
2019-01-04,Weekly
2019-01-11,Weekly
2019-01-18,Monthly
2019-01-18,Weekly
2019-01-25,Weekly
2019-02-01,Weekly
2019-02-08,Weekly
2019-02-15,Weekly
2019-02-15,Monthly
2019-02-22,Weekly
2019-03-01,Weekly
2019-03-08,Weekly
2019-03-15,Weekly
2019-03-15,Monthly
2019-03-22,Weekly
2019-03-29,Weekly
2019-04-05,Weekly
2019-04-12,Weekly
2019-04-18,Weekly
2019-04-18,Monthly
2019-04-26,Weekly
2019-05-03,Weekly
2019-05-10,Weekly
2019-05-17,Weekly
2019-05-17,Monthly
2019-05-24,Weekly
2019-05-31,Weekly
2019-06-07,Weekly
2019-06-14,Weekly
2019-06-21,Weekly
2019-06-21,Monthly
2019-06-28,Weekly
2019-07-05,Weekly
2019-07-12,Weekly
2019-07-19,Weekly
2019-07-19,Monthly
2019-07-26,Weekly
2019-08-02,Weekly
2019-08-09,Weekly
2019-08-16,Weekly
2019-08-16,Monthly
2019-08-23,Weekly
2019-08-30,Weekly
2019-09-06,Weekly
2019-09-13,Weekly
2019-09-20,Weekly
2019-09-20,Monthly
2019-09-27,Weekly
2019-10-04,Weekly
2019-10-11,Weekly
2019-10-18,Weekly
2019-10-18,Monthly
2019-10-25,Weekly
2019-11-01,Weekly
2019-11-08,Weekly
2019-11-15,Weekly
2019-11-15,Monthly
2019-11-22,Weekly
2019-11-29,Weekly
2019-12-06,Weekly
2019-12-13,Weekly
2019-12-20,Weekly
2019-12-20,Monthly
2019-12-27,Weekly
2020-01-03,Weekly
2020-01-10,Weekly
2020-01-17,Weekly
2020-01-17,Monthly
2020-01-24,Weekly
2020-01-31,Weekly
2020-02-07,Weekly
2020-02-14,Weekly
2020-02-21,Weekly
2020-02-21,Monthly
2020-02-28,Weekly
2020-03-06,Weekly
2020-03-13,Weekly
2020-03-20,Weekly
2020-03-20,Monthly
2020-03-27,Weekly
2020-04-03,Weekly
2020-04-10,Weekly
2020-04-17,Weekly
2020-04-17,Monthly
2020-04-24,Weekly
2020-05-01,Weekly
2020-05-08,Weekly
2020-05-15,Weekly
2020-05-15,Monthly
2020-05-22,Weekly
2020-05-29,Weekly
2020-06-05,Weekly
