Date,Open,High,Low,Close,Adj Close,Volume
2/6/08,94.629997,94.849998,94.360001,94.68,65.436691,1339800
2/7/08,94.529999,94.529999,92.050003,92.639999,64.02681,5419700
2/8/08,93.25,93.730003,93.089996,93.699997,64.759361,2832800
2/11/08,94.279999,94.699997,93.730003,94.089996,65.028954,2960200
2/12/08,93.32,93.650002,92.959999,93.529999,64.641876,2897700
2/13/08,92.93,93.419998,92.400002,92.540001,63.957706,3697500
2/14/08,91.800003,92.099998,90.660004,91.18,63.017727,7505000
2/15/08,91.610001,92.07,91.459999,91.879997,63.501564,3687800
2/19/08,91.139999,91.699997,90.639999,90.949997,62.858757,2911600
2/20/08,90.620003,91.580002,90.559998,91.580002,63.29417,2550100
2/21/08,92.080002,92.849998,92.050003,92.550003,63.964569,4197200
2/22/08,92.489998,92.849998,91.870003,92.019997,63.598301,1959700
2/25/08,91.949997,92.139999,90.650002,91.080002,62.948627,3460900
2/26/08,90.959999,91.339996,90.730003,91.110001,62.969353,2618900
2/27/08,91.43,91.57,90.610001,91.190002,63.024612,2494400
2/28/08,92.339996,92.839996,92.190002,92.809998,64.144249,3410900
2/29/08,93.650002,94.459999,93.519997,94.230003,65.125702,3822000
3/3/08,93.669998,94.199997,93.25,93.639999,64.957809,2036900
3/4/08,93.940002,94.120003,92.529999,92.730003,64.326553,3401100
3/5/08,93.059998,93.059998,91.5,91.620003,63.556564,3871200
3/6/08,91.82,92.440002,91.669998,92.110001,63.896435,1342600
3/7/08,93.290001,93.349998,91.739998,92.230003,63.979691,3601300
3/10/08,92.709999,94.129997,92.610001,93.589996,64.923103,3579000
3/11/08,93,93.029999,92.209999,92.790001,64.368179,3309200
3/12/08,93.129997,94.68,92.970001,94.580002,65.609871,4752900
3/13/08,95.029999,95.190002,93.260002,93.839996,65.096535,5763500
3/14/08,94.620003,95.809998,94.620003,95,65.90126,6174800
3/17/08,95.589996,96.309998,95.309998,95.730003,66.407623,3329300
3/18/08,95.300003,96.160004,94.949997,95.360001,66.151009,4022300
3/19/08,95.120003,97.470001,95.120003,96.940002,67.247032,5206400
3/20/08,97,97.75,96.870003,97.18,67.413521,3905900
3/24/08,96.480003,96.480003,95.199997,95.300003,66.109329,5596200
3/25/08,95.379997,95.82,95.279999,95.699997,66.386841,2038200
3/26/08,95.779999,96.199997,95.230003,95.300003,66.109329,1652000
3/27/08,94.639999,95.360001,94.540001,94.629997,65.6446,2405700
3/28/08,95.089996,95.559998,94.75,95.550003,66.282784,1745500
3/31/08,96.110001,96.32,95.669998,95.889999,66.518661,2546300
